Account address,Show boosts,Notify on new posts,Languages
@radiofreefedi@musician.social,true,false,
@labr@ravenation.club,true,false,
@musicweeklies@mastodon.social,true,false,
@mixtape@nham.co.uk,true,false,
@axwax@chaos.social,true,false,
@brothersoul@mstdn.social,true,false,
@cambraca@musicians.today,true,false,
@clive@saturation.social,true,false,
@coreysnipes@fosstodon.org,true,false,
@dgar@aus.social,true,false,
@djsundog@toot-lab.reclaim.technology,true,false,
@disquiet@post.lurk.org,true,false,
@etherdiver@ravenation.club,true,false,
@ethicalrevolution@climatejustice.social,true,false,
@fredbrooker@witter.cz,true,false,
@mcmullin@musicians.today,true,false,
@meljoann@topspicy.social,true,false,
@NadiaPurge@musician.social,true,false,
@randulo@mastodon.social,true,false,
@setto@v.basspistol.org,true,false,
@Tijn@dosgame.club,true,false,
@tinelinen@mastodon.gamedev.place,true,false,
@uncanny_static@chaos.social,true,false,
