Account address,Show boosts,Notify on new posts,Languages
@audiointerface@mastodon.social,true,false,
@axwax@chaos.social,true,false,
@cambraca@musicians.today,true,false,
@djsundog@toot-lab.reclaim.technology,true,false,
@etherdiver@ravenation.club,true,false,
@ethicalrevolution@climatejustice.social,true,false,
@fredbrooker@witter.cz,true,false,
@mcmullin@musicians.today,true,false,
@meljoann@topspicy.social,true,false,
@NadiaPurge@musician.social,true,false,
@randulo@mastodon.social,true,false,
@stefan@stefanbohacek.online,true,false,
@xylander@mastodon.social,true,false,
